,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
6594,INN06595,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115.0,1,Canceled
11122,INN11123,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,2,19,Corporate,0,0,0,80.0,0,Not_Canceled
29845,INN29846,2,0,0,2,Meal Plan 1,0,Room_Type 4,40,2018,10,5,Online,0,0,0,139.5,0,Canceled
11587,INN11588,2,0,0,4,Meal Plan 1,0,Room_Type 4,94,2018,10,19,Online,0,0,0,132.3,2,Not_Canceled
10777,INN10778,2,0,2,2,Meal Plan 1,0,Room_Type 1,37,2018,5,21,Online,0,0,0,126.9,0,Canceled
14850,INN14851,2,0,0,2,Meal Plan 1,0,Room_Type 4,26,2018,5,20,Online,0,0,0,120.12,1,Not_Canceled
9406,INN09407,2,0,1,2,Meal Plan 1,0,Room_Type 1,81,2018,2,19,Offline,0,0,0,60.0,0,Not_Canceled
3465,INN03466,2,0,0,2,Not Selected,0,Room_Type 1,2,2018,8,10,Online,0,0,0,94.99,0,Not_Canceled
9532,INN09533,2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2017,9,10,Complementary,0,0,0,0.0,1,Not_Canceled
1608,INN01609,3,0,2,2,Meal Plan 1,0,Room_Type 4,34,2018,4,16,Online,0,0,0,135.45,1,Not_Canceled
3305,INN03306,2,0,0,1,Meal Plan 1,0,Room_Type 1,208,2018,12,27,Offline,0,0,0,81.0,1,Not_Canceled
34573,INN34574,3,0,1,2,Meal Plan 1,0,Room_Type 1,152,2018,8,5,Online,0,0,0,110.65,2,Canceled
35943,INN35944,1,0,2,2,Meal Plan 1,0,Room_Type 5,44,2018,5,27,Corporate,0,0,0,135.4,0,Canceled
20461,INN20462,2,0,0,1,Meal Plan 1,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,80.0,0,Canceled
20527,INN20528,1,0,0,3,Meal Plan 1,0,Room_Type 1,174,2018,9,22,Offline,0,0,0,95.67,0,Not_Canceled
15632,INN15633,2,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,11,5,Offline,0,0,0,130.0,0,Not_Canceled
31315,INN31316,3,0,0,3,Meal Plan 1,0,Room_Type 4,198,2018,9,22,Online,0,0,0,159.3,3,Not_Canceled
32930,INN32931,2,0,0,3,Meal Plan 1,0,Room_Type 4,43,2017,11,4,Offline,0,0,0,60.0,0,Not_Canceled
330,INN00331,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,11,Online,0,0,0,75.0,0,Not_Canceled
12929,INN12930,2,0,2,3,Meal Plan 1,0,Room_Type 1,2,2018,3,20,Online,0,0,0,130.0,1,Not_Canceled
24027,INN24028,2,1,0,2,Meal Plan 1,0,Room_Type 1,42,2018,11,24,Offline,0,0,0,85.05,0,Not_Canceled
3688,INN03689,2,0,2,2,Not Selected,0,Room_Type 1,10,2017,12,20,Online,0,0,0,52.36,1,Not_Canceled
33871,INN33872,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,81.0,0,Not_Canceled
9270,INN09271,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Offline,0,0,0,89.0,0,Canceled
3206,INN03207,1,0,0,2,Meal Plan 1,0,Room_Type 1,9,2018,4,27,Corporate,0,0,0,95.0,0,Not_Canceled
10984,INN10985,2,0,0,3,Meal Plan 1,0,Room_Type 1,197,2018,4,12,Online,0,0,0,106.2,2,Canceled
2926,INN02927,2,0,0,3,Meal Plan 1,0,Room_Type 1,45,2018,3,3,Online,0,0,0,78.3,0,Canceled
33304,INN33305,2,0,2,5,Meal Plan 1,0,Room_Type 1,128,2018,2,5,Offline,0,0,0,43.43,1,Not_Canceled
34117,INN34118,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,107.0,0,Canceled
27798,INN27799,2,0,0,1,Meal Plan 2,0,Room_Type 1,40,2018,7,26,Offline,0,0,0,125.0,1,Not_Canceled
23064,INN23065,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Offline,0,0,0,75.0,0,Canceled
19186,INN19187,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,11,30,Corporate,0,0,0,73.0,1,Not_Canceled
17260,INN17261,2,0,1,3,Meal Plan 1,0,Room_Type 1,290,2018,12,1,Online,0,0,0,73.95,0,Canceled
805,INN00806,2,0,1,0,Meal Plan 1,0,Room_Type 1,81,2017,12,6,Online,0,0,0,76.5,2,Not_Canceled
28133,INN28134,2,2,1,2,Meal Plan 2,0,Room_Type 6,139,2018,7,4,Online,0,0,0,228.6,2,Canceled
17584,INN17585,2,0,0,3,Meal Plan 1,0,Room_Type 1,193,2018,9,1,Online,0,0,0,108.9,0,Canceled
17514,INN17515,2,0,2,2,Meal Plan 1,0,Room_Type 1,87,2018,11,13,Online,0,0,0,91.0,3,Not_Canceled
14660,INN14661,3,0,0,2,Meal Plan 1,0,Room_Type 4,11,2018,3,24,Online,0,0,0,182.0,2,Not_Canceled
34374,INN34375,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104.0,0,Not_Canceled
14741,INN14742,3,0,1,5,Meal Plan 1,0,Room_Type 4,123,2018,9,20,Online,0,0,0,162.0,0,Canceled
13546,INN13547,2,0,0,3,Meal Plan 2,0,Room_Type 1,150,2018,6,16,Offline,0,0,0,45.0,1,Not_Canceled
2723,INN02724,2,2,0,2,Meal Plan 1,0,Room_Type 6,128,2018,5,27,Online,0,0,0,207.9,2,Canceled
21630,INN21631,1,0,1,2,Meal Plan 1,0,Room_Type 1,31,2017,10,5,Online,0,0,0,85.5,2,Not_Canceled
4634,INN04635,1,0,0,1,Meal Plan 1,0,Room_Type 1,53,2018,10,14,Offline,0,0,0,120.0,0,Not_Canceled
2245,INN02246,2,0,0,1,Meal Plan 1,0,Room_Type 1,71,2018,6,9,Online,0,0,0,126.9,0,Canceled
24794,INN24795,2,0,0,4,Meal Plan 1,0,Room_Type 1,34,2018,10,26,Online,0,0,0,129.0,1,Canceled
21131,INN21132,1,0,0,3,Meal Plan 1,0,Room_Type 1,14,2017,9,15,Online,0,0,0,114.0,1,Not_Canceled
11933,INN11934,1,0,1,0,Meal Plan 1,0,Room_Type 4,61,2018,12,19,Offline,0,0,0,78.2,0,Not_Canceled
1289,INN01290,1,0,0,2,Meal Plan 1,1,Room_Type 1,0,2018,3,2,Corporate,0,0,0,55.0,1,Not_Canceled
8072,INN08073,2,0,0,2,Meal Plan 1,0,Room_Type 1,37,2018,3,1,Online,0,0,0,81.9,1,Canceled
35065,INN35066,2,1,1,0,Meal Plan 1,0,Room_Type 1,69,2018,7,17,Online,0,0,0,123.3,2,Not_Canceled
262,INN00263,2,0,1,3,Meal Plan 1,0,Room_Type 4,25,2017,9,14,Online,0,0,0,78.54,1,Not_Canceled
17366,INN17367,2,0,1,3,Meal Plan 1,0,Room_Type 4,154,2018,7,7,Online,0,0,0,120.7,1,Canceled
35682,INN35683,2,0,2,5,Meal Plan 1,0,Room_Type 4,148,2018,8,16,Online,0,0,0,119.69,0,Canceled
7866,INN07867,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Offline,0,0,0,115.0,1,Canceled
19078,INN19079,2,0,1,2,Meal Plan 1,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,75.0,0,Canceled
33952,INN33953,3,0,0,1,Not Selected,0,Room_Type 1,3,2018,8,3,Online,0,0,0,174.0,1,Not_Canceled
11321,INN11322,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,90.67,1,Not_Canceled
10117,INN10118,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2018,7,1,Online,0,0,0,90.9,1,Not_Canceled
10225,INN10226,2,0,0,4,Not Selected,0,Room_Type 1,183,2018,10,26,Online,0,0,0,80.1,2,Canceled
7591,INN07592,2,0,0,3,Meal Plan 1,0,Room_Type 4,85,2018,5,3,Online,0,0,0,140.4,0,Not_Canceled
16244,INN16245,3,0,0,3,Meal Plan 2,0,Room_Type 4,11,2018,2,24,Offline,0,0,0,161.8,1,Not_Canceled
20578,INN20579,1,1,1,4,Meal Plan 1,0,Room_Type 1,56,2018,2,8,Offline,0,0,0,59.0,1,Not_Canceled
24192,INN24193,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,115.0,1,Canceled
2046,INN02047,2,0,0,2,Meal Plan 1,0,Room_Type 4,177,2018,7,27,Online,0,0,0,82.96,0,Canceled
12335,INN12336,2,0,1,3,Meal Plan 1,0,Room_Type 1,76,2018,11,14,Online,0,0,0,89.7,1,Not_Canceled
25333,INN25334,2,0,0,2,Meal Plan 1,0,Room_Type 1,263,2018,10,21,Offline,0,0,0,110.0,0,Canceled
19564,INN19565,1,0,2,1,Meal Plan 1,0,Room_Type 1,44,2018,4,23,Offline,0,0,0,85.0,0,Not_Canceled
21934,INN21935,1,0,0,2,Meal Plan 1,0,Room_Type 1,3,2017,9,9,Corporate,0,0,0,90.0,0,Not_Canceled
14068,INN14069,3,0,0,2,Meal Plan 1,0,Room_Type 4,21,2018,6,1,Online,0,0,0,157.0,0,Canceled
33555,INN33556,2,1,2,5,Meal Plan 1,0,Room_Type 4,186,2018,8,3,Online,0,0,0,112.2,1,Canceled
23956,INN23957,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled
1852,INN01853,2,0,1,5,Meal Plan 1,0,Room_Type 1,9,2018,3,28,Online,0,0,0,127.67,0,Not_Canceled
14702,INN14703,2,1,2,5,Meal Plan 1,0,Room_Type 4,22,2017,9,5,Online,0,0,0,105.65,2,Not_Canceled
31779,INN31780,2,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,94.5,0,Not_Canceled
11067,INN11068,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
8936,INN08937,1,0,0,1,Meal Plan 1,0,Room_Type 5,12,2018,7,6,Corporate,0,0,0,125.0,0,Not_Canceled
8229,INN08230,2,0,2,2,Meal Plan 1,0,Room_Type 4,41,2017,10,23,Online,0,0,0,110.09,1,Not_Canceled
21923,INN21924,1,0,1,0,Meal Plan 1,0,Room_Type 1,110,2018,10,9,Offline,0,0,0,120.0,0,Not_Canceled
9248,INN09249,2,2,2,3,Meal Plan 2,0,Room_Type 6,99,2018,10,21,Online,0,0,0,236.52,0,Canceled
31484,INN31485,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Offline,0,0,0,130.0,0,Canceled
21499,INN21500,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,2018,11,20,Online,0,0,0,90.0,2,Canceled
28296,INN28297,2,0,0,3,Meal Plan 1,0,Room_Type 1,43,2018,11,1,Offline,0,0,0,75.0,0,Not_Canceled
4283,INN04284,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Online,0,0,0,110.0,0,Canceled
4848,INN04849,2,0,1,1,Meal Plan 1,0,Room_Type 1,1,2018,4,16,Online,0,0,0,77.77,1,Not_Canceled
3416,INN03417,1,0,0,1,Not Selected,0,Room_Type 1,1,2018,8,24,Online,0,0,0,81.19,0,Not_Canceled
1507,INN01508,2,0,0,2,Not Selected,0,Room_Type 1,23,2018,10,20,Online,0,0,0,119.0,1,Canceled
9958,INN09959,2,0,0,4,Meal Plan 1,1,Room_Type 4,12,2017,11,3,Online,0,0,0,91.45,0,Not_Canceled
35047,INN35048,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73.0,0,Not_Canceled
33497,INN33498,2,0,1,3,Meal Plan 1,0,Room_Type 4,69,2018,5,30,Online,0,0,0,102.1,1,Not_Canceled
26250,INN26251,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,9,23,Online,0,0,0,158.0,2,Not_Canceled
11228,INN11229,2,0,1,2,Not Selected,0,Room_Type 1,128,2018,6,27,Online,0,0,0,85.5,0,Canceled
22475,INN22476,2,0,1,2,Meal Plan 1,0,Room_Type 1,309,2018,5,13,Offline,0,0,0,65.0,0,Not_Canceled
28808,INN28809,2,0,1,5,Meal Plan 1,0,Room_Type 4,146,2018,7,4,Online,0,0,0,116.45,0,Canceled
7851,INN07852,2,0,1,2,Meal Plan 1,0,Room_Type 1,203,2018,8,26,Offline,0,0,0,72.25,0,Not_Canceled
24228,INN24229,1,0,1,1,Not Selected,0,Room_Type 1,5,2018,12,19,Online,0,0,0,68.0,0,Not_Canceled
35974,INN35975,1,0,1,1,Meal Plan 1,0,Room_Type 1,14,2018,11,7,Online,0,0,0,189.5,1,Not_Canceled
31296,INN31297,2,0,0,3,Meal Plan 1,0,Room_Type 1,4,2018,9,13,Offline,0,0,0,95.0,0,Not_Canceled
2405,INN02406,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
19428,INN19429,1,0,0,2,Meal Plan 1,0,Room_Type 4,8,2018,5,10,Online,0,0,0,108.57,1,Canceled
4716,INN04717,3,0,1,1,Meal Plan 2,1,Room_Type 4,67,2018,4,30,Online,0,0,0,219.6,2,Not_Canceled
19049,INN19050,2,0,1,1,Meal Plan 1,0,Room_Type 1,35,2017,10,26,Offline,0,0,0,76.5,1,Not_Canceled
9877,INN09878,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110.0,0,Canceled
29924,INN29925,1,0,0,1,Not Selected,0,Room_Type 1,1,2018,1,14,Online,0,0,0,66.7,0,Not_Canceled
11021,INN11022,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,6,23,Online,0,0,0,97.0,0,Not_Canceled
18965,INN18966,2,0,0,0,Meal Plan 2,0,Room_Type 4,78,2018,11,16,Online,0,0,0,0.0,2,Not_Canceled
27706,INN27707,2,0,2,1,Meal Plan 1,0,Room_Type 1,205,2018,5,29,Offline,0,0,0,90.0,0,Canceled
33671,INN33672,2,0,0,1,Not Selected,1,Room_Type 1,51,2018,9,7,Online,0,0,0,96.3,1,Not_Canceled
23413,INN23414,2,0,0,3,Meal Plan 1,0,Room_Type 1,60,2018,6,21,Online,0,0,0,99.9,1,Not_Canceled
4098,INN04099,3,0,0,4,Meal Plan 1,0,Room_Type 6,31,2018,9,7,Online,0,0,0,152.81,1,Canceled
35731,INN35732,1,0,2,2,Meal Plan 1,0,Room_Type 4,9,2018,9,4,Online,0,0,0,94.86,1,Not_Canceled
25276,INN25277,3,0,1,1,Meal Plan 1,0,Room_Type 4,63,2018,4,2,Online,0,0,0,126.0,1,Not_Canceled
19139,INN19140,2,1,2,1,Meal Plan 1,0,Room_Type 1,61,2018,11,26,Offline,0,0,0,90.0,0,Not_Canceled
18860,INN18861,2,0,0,3,Meal Plan 1,0,Room_Type 1,129,2018,8,10,Online,0,0,0,88.01,1,Not_Canceled
19143,INN19144,1,0,1,2,Meal Plan 1,0,Room_Type 4,253,2018,10,7,Online,0,0,0,140.4,1,Canceled
34206,INN34207,2,0,2,5,Meal Plan 1,0,Room_Type 1,89,2018,3,21,Online,0,0,0,83.66,1,Not_Canceled
6727,INN06728,2,0,2,3,Meal Plan 2,0,Room_Type 1,52,2018,12,3,Online,0,0,0,120.7,1,Not_Canceled
30739,INN30740,3,0,0,2,Meal Plan 1,0,Room_Type 4,17,2018,12,2,Online,0,0,0,157.5,2,Not_Canceled
21380,INN21381,3,0,2,3,Meal Plan 1,0,Room_Type 4,49,2018,6,19,Online,0,0,0,137.7,0,Canceled
10575,INN10576,2,0,1,2,Meal Plan 2,0,Room_Type 2,161,2018,3,25,Offline,0,0,0,130.0,0,Canceled
19578,INN19579,2,0,2,3,Meal Plan 1,1,Room_Type 1,15,2017,10,15,Online,0,0,0,142.6,1,Not_Canceled
32906,INN32907,2,0,0,1,Not Selected,0,Room_Type 1,131,2018,7,29,Online,0,0,0,94.5,1,Not_Canceled
18292,INN18293,2,0,1,2,Not Selected,0,Room_Type 1,35,2018,3,14,Online,0,0,0,71.1,0,Canceled
31907,INN31908,2,0,2,5,Not Selected,0,Room_Type 1,127,2018,6,29,Online,0,0,0,81.96,1,Not_Canceled
5663,INN05664,2,0,2,5,Meal Plan 1,0,Room_Type 4,65,2018,9,15,Online,0,0,0,149.4,3,Not_Canceled
14508,INN14509,1,0,0,2,Not Selected,0,Room_Type 1,5,2018,1,15,Online,0,0,0,63.1,0,Not_Canceled
17080,INN17081,2,0,2,1,Not Selected,0,Room_Type 1,56,2018,9,11,Online,0,0,0,125.1,0,Canceled
22341,INN22342,2,0,1,2,Meal Plan 1,0,Room_Type 1,1,2018,6,17,Offline,0,0,0,75.0,1,Not_Canceled
9980,INN09981,2,0,1,2,Meal Plan 1,0,Room_Type 1,46,2018,3,21,Offline,0,0,0,85.0,0,Canceled
3755,INN03756,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,2017,10,17,Offline,0,0,0,67.0,0,Not_Canceled
35460,INN35461,2,0,1,2,Meal Plan 1,0,Room_Type 4,54,2017,11,16,Offline,0,0,0,69.0,0,Not_Canceled
32141,INN32142,2,0,1,3,Meal Plan 1,0,Room_Type 1,196,2018,5,12,Offline,0,0,0,80.75,1,Not_Canceled
12543,INN12544,2,0,0,2,Meal Plan 2,0,Room_Type 1,286,2018,9,16,Offline,0,0,0,117.0,1,Canceled
23759,INN23760,2,0,2,2,Meal Plan 1,0,Room_Type 1,28,2018,5,1,Online,0,0,0,133.95,1,Not_Canceled
26011,INN26012,1,0,1,1,Meal Plan 1,0,Room_Type 4,26,2018,12,5,Online,0,0,0,87.78,1,Not_Canceled
20273,INN20274,1,0,1,1,Meal Plan 1,0,Room_Type 1,159,2018,4,9,Offline,0,0,0,65.0,0,Not_Canceled
11282,INN11283,1,0,1,2,Meal Plan 1,0,Room_Type 1,2,2018,11,21,Online,0,0,0,100.67,1,Not_Canceled
856,INN00857,1,0,0,2,Meal Plan 1,0,Room_Type 1,7,2017,10,28,Online,0,0,0,92.4,1,Not_Canceled
22795,INN22796,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,8,7,Online,0,0,0,80.0,1,Not_Canceled
33158,INN33159,2,0,1,2,Meal Plan 1,0,Room_Type 1,47,2018,3,11,Online,0,0,0,59.91,1,Not_Canceled
13398,INN13399,2,0,0,1,Meal Plan 1,0,Room_Type 1,180,2017,10,16,Offline,0,0,0,70.0,0,Canceled
19917,INN19918,2,0,2,5,Meal Plan 1,0,Room_Type 1,20,2017,9,1,Online,0,0,0,76.81,0,Not_Canceled
14225,INN14226,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,19,Corporate,0,0,0,80.0,0,Not_Canceled
2082,INN02083,1,0,3,7,Meal Plan 1,0,Room_Type 4,17,2018,2,19,Online,0,0,0,107.7,1,Canceled
17012,INN17013,2,0,1,0,Meal Plan 1,0,Room_Type 1,51,2017,10,11,Online,0,0,0,94.5,1,Not_Canceled
22866,INN22867,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Offline,0,0,0,120.0,0,Canceled
27390,INN27391,2,0,1,2,Meal Plan 2,0,Room_Type 1,105,2017,10,12,Offline,0,0,0,110.0,0,Canceled
113,INN00114,2,0,2,3,Meal Plan 1,0,Room_Type 1,40,2018,6,30,Online,0,0,0,117.9,1,Not_Canceled
8872,INN08873,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2017,10,1,Online,0,0,0,138.67,0,Not_Canceled
22562,INN22563,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,80.0,0,Canceled
2757,INN02758,2,0,0,4,Meal Plan 1,0,Room_Type 1,20,2017,9,2,Online,0,0,0,80.85,2,Not_Canceled
3387,INN03388,3,0,1,0,Meal Plan 1,1,Room_Type 4,71,2018,7,24,Online,0,0,0,146.7,2,Not_Canceled
28664,INN28665,2,0,2,5,Meal Plan 1,0,Room_Type 1,17,2018,11,11,Online,0,0,0,102.0,1,Canceled
1601,INN01602,2,1,1,1,Meal Plan 1,0,Room_Type 1,80,2018,7,25,Offline,0,0,0,93.25,1,Not_Canceled
18431,INN18432,2,0,1,3,Meal Plan 1,0,Room_Type 1,6,2018,9,8,Online,0,0,0,161.5,2,Not_Canceled
16033,INN16034,1,0,0,1,Meal Plan 1,0,Room_Type 1,7,2017,9,29,Online,0,0,0,195.7,0,Not_Canceled
19550,INN19551,2,0,2,3,Meal Plan 1,0,Room_Type 1,276,2018,5,13,Offline,0,0,0,61.0,0,Canceled
3462,INN03463,1,0,2,1,Meal Plan 1,0,Room_Type 1,0,2017,9,20,Complementary,1,0,5,0.0,1,Not_Canceled
12636,INN12637,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Offline,0,0,0,95.0,0,Canceled
11166,INN11167,2,0,0,2,Not Selected,0,Room_Type 1,252,2018,11,15,Online,0,0,0,67.5,0,Canceled
36130,INN36131,2,0,2,7,Meal Plan 1,0,Room_Type 1,117,2018,12,20,Online,0,0,0,90.4,1,Not_Canceled
9361,INN09362,2,0,0,3,Meal Plan 2,0,Room_Type 1,34,2017,9,23,Offline,0,0,0,224.67,0,Canceled
20023,INN20024,2,0,0,2,Not Selected,0,Room_Type 1,102,2018,7,26,Online,0,0,0,94.5,1,Canceled
23446,INN23447,2,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,96.0,0,Not_Canceled
7808,INN07809,2,2,0,5,Meal Plan 1,0,Room_Type 6,66,2017,12,29,Online,0,0,0,170.9,1,Not_Canceled
28566,INN28567,1,0,0,2,Meal Plan 1,0,Room_Type 4,20,2018,2,9,Online,0,0,0,63.22,1,Not_Canceled
10466,INN10467,2,0,2,2,Meal Plan 1,0,Room_Type 1,91,2018,10,8,Online,0,0,0,118.8,1,Canceled
16803,INN16804,2,0,2,4,Meal Plan 1,0,Room_Type 1,81,2017,9,16,Online,0,0,0,89.25,0,Not_Canceled
26098,INN26099,2,0,2,1,Meal Plan 2,0,Room_Type 1,5,2017,8,15,Offline,0,0,0,94.5,0,Not_Canceled
9320,INN09321,2,0,0,3,Meal Plan 1,0,Room_Type 1,259,2018,5,5,Offline,0,0,0,90.0,0,Canceled
13875,INN13876,2,0,0,2,Not Selected,0,Room_Type 1,37,2018,12,2,Online,0,0,0,88.0,2,Not_Canceled
27835,INN27836,2,0,1,1,Meal Plan 1,0,Room_Type 4,151,2018,7,11,Offline,0,0,0,82.45,1,Canceled
12088,INN12089,2,0,2,0,Not Selected,0,Room_Type 1,20,2018,9,11,Online,0,0,0,89.0,2,Not_Canceled
433,INN00434,2,0,0,3,Meal Plan 1,0,Room_Type 1,10,2017,10,20,Online,0,0,0,126.0,1,Not_Canceled
27222,INN27223,2,0,0,1,Meal Plan 1,0,Room_Type 1,180,2017,10,16,Offline,0,0,0,70.0,0,Canceled
32195,INN32196,1,0,1,1,Meal Plan 1,0,Room_Type 1,43,2018,4,2,Online,0,0,0,107.1,0,Canceled
15867,INN15868,2,2,0,1,Meal Plan 1,0,Room_Type 7,116,2018,8,12,Online,0,0,0,202.74,1,Canceled
13344,INN13345,2,0,0,4,Meal Plan 1,0,Room_Type 4,6,2018,12,28,Online,0,0,0,119.0,3,Not_Canceled
20898,INN20899,2,0,1,1,Meal Plan 1,0,Room_Type 4,64,2018,4,23,Online,0,0,0,118.8,1,Not_Canceled
2002,INN02003,2,0,0,4,Meal Plan 1,0,Room_Type 1,134,2018,7,12,Online,0,0,0,89.85,2,Not_Canceled
14797,INN14798,1,0,2,4,Meal Plan 1,0,Room_Type 1,0,2017,9,13,Online,0,0,0,136.0,0,Not_Canceled
17193,INN17194,1,0,0,1,Meal Plan 1,0,Room_Type 4,22,2018,5,21,Online,0,0,0,156.0,1,Not_Canceled
8754,INN08755,2,0,2,1,Not Selected,0,Room_Type 1,173,2018,8,13,Online,0,0,0,94.5,1,Canceled
