lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
164,1,90.9,7,1,4,2,0,0,0,1
183,2,80.1,10,26,4,4,0,3,0,0
85,0,140.4,5,3,4,3,0,0,3,1
11,1,161.8,2,24,3,3,0,1,3,1
56,1,59.0,2,8,3,4,1,0,0,1
320,1,115.0,8,18,3,2,0,1,0,0
177,0,82.96,7,27,4,2,0,0,3,0
76,1,89.7,11,14,4,3,1,0,0,1
263,0,110.0,10,21,3,2,0,0,0,0
44,0,85.0,4,23,3,1,2,0,0,1
3,0,90.0,9,9,2,2,0,0,0,1
21,0,157.0,6,1,4,2,0,0,3,0
186,1,112.2,8,3,4,5,2,0,3,0
9,0,127.67,3,28,4,5,1,0,0,1
22,2,105.65,9,5,4,5,2,0,3,1
138,0,94.5,8,22,3,1,2,1,0,1
164,0,100.0,10,2,3,2,0,0,0,1
12,0,125.0,7,6,2,1,0,0,4,1
41,1,110.09,10,23,4,2,2,0,3,1
110,0,120.0,10,9,3,0,1,0,0,1
99,0,236.52,10,21,4,3,2,1,5,0
161,0,130.0,3,25,3,2,1,1,0,0
95,2,90.0,11,20,4,0,2,0,0,0
43,0,75.0,11,1,3,3,0,0,0,1
245,0,110.0,7,6,4,4,2,0,0,0
1,1,77.77,4,16,4,1,1,0,0,1
1,0,81.19,8,24,4,1,0,3,0,1
23,1,119.0,10,20,4,2,0,3,0,0
12,0,91.45,11,3,4,4,0,0,3,1
32,0,73.0,11,20,3,2,0,0,0,1
69,1,102.1,5,30,4,3,1,0,3,1
0,2,158.0,9,23,4,2,0,0,0,1
128,0,85.5,6,27,4,2,1,3,0,0
309,0,65.0,5,13,3,2,1,0,0,1
146,0,116.45,7,4,4,5,1,0,3,0
203,0,72.25,8,26,3,2,1,0,0,1
5,0,68.0,12,19,4,1,1,3,0,1
14,1,189.5,11,7,4,1,1,0,0,1
4,0,95.0,9,13,3,3,0,0,0,1
192,0,95.0,6,24,3,2,0,0,0,1
8,1,108.57,5,10,4,2,0,0,3,0
67,2,219.6,4,30,4,1,1,1,3,1
35,1,76.5,10,26,3,1,1,0,0,1
166,0,110.0,11,1,3,3,0,0,0,0
1,0,66.7,1,14,4,1,0,3,0,1
1,0,97.0,6,23,4,1,0,3,0,1
78,2,0.0,11,16,4,0,0,1,3,1
205,0,90.0,5,29,3,1,2,0,0,0
51,1,96.3,9,7,4,1,0,3,0,1
60,1,99.9,6,21,4,3,0,0,0,1
31,1,152.81,9,7,4,4,0,0,5,0
9,1,94.86,9,4,4,2,2,0,3,1
63,1,126.0,4,2,4,1,1,0,3,1
61,0,90.0,11,26,3,1,2,0,0,1
129,1,88.01,8,10,4,3,0,0,0,1
253,1,140.4,10,7,4,2,1,0,3,0
89,1,83.66,3,21,4,5,2,0,0,1
52,1,120.7,12,3,4,3,2,1,0,1
17,2,157.5,12,2,4,2,0,0,3,1
49,0,137.7,6,19,4,3,2,0,3,0
161,0,130.0,3,25,3,2,1,1,1,0
15,1,142.6,10,15,4,3,2,0,0,1
131,1,94.5,7,29,4,1,0,3,0,1
35,0,71.1,3,14,4,2,1,3,0,0
127,1,81.96,6,29,4,5,2,3,0,1
65,3,149.4,9,15,4,5,2,0,3,1
5,0,63.1,1,15,4,2,0,3,0,1
56,0,125.1,9,11,4,1,2,3,0,0
1,1,75.0,6,17,3,2,1,0,0,1
46,0,85.0,3,21,3,2,1,0,0,0
289,0,67.0,10,17,3,1,0,0,0,1
54,0,69.0,11,16,3,2,1,0,3,1
196,1,80.75,5,12,3,3,1,0,0,1
286,1,117.0,9,16,3,2,0,1,0,0
28,1,133.95,5,1,4,2,2,0,0,1
26,1,87.78,12,5,4,1,1,0,3,1
159,0,65.0,4,9,3,1,1,0,0,1
2,1,100.67,11,21,4,2,1,0,0,1
7,1,92.4,10,28,4,2,0,0,0,1
1,1,80.0,8,7,4,2,0,0,0,1
47,1,59.91,3,11,4,2,1,0,0,1
180,0,70.0,10,16,3,1,0,0,0,0
20,0,76.81,9,1,4,5,2,0,0,1
0,0,80.0,2,19,2,1,0,0,0,1
17,1,107.7,2,19,4,7,3,0,3,0
51,1,94.5,10,11,4,0,1,0,0,1
193,0,120.0,6,20,3,2,1,0,0,0
105,0,110.0,10,12,3,2,1,1,0,0
40,1,117.9,6,30,4,3,2,0,0,1
0,0,138.67,10,1,4,3,0,0,0,1
102,0,80.0,10,16,3,2,0,1,0,0
20,2,80.85,9,2,4,4,0,0,0,1
71,2,146.7,7,24,4,0,1,0,3,1
17,1,102.0,11,11,4,5,2,0,0,0
80,1,93.25,7,25,3,1,1,0,0,1
6,2,161.5,9,8,4,3,1,0,0,1
7,0,195.7,9,29,4,1,0,0,0,1
276,0,61.0,5,13,3,3,2,0,0,0
0,1,0.0,9,20,1,1,2,0,0,1
273,0,95.0,5,13,3,2,1,0,0,0
252,0,67.5,11,15,4,2,0,3,0,0
117,1,90.4,12,20,4,7,2,0,0,1
34,0,224.67,9,23,3,3,0,1,0,0
102,1,94.5,7,26,4,2,0,3,0,0
116,0,96.0,2,28,3,1,2,0,0,1
66,1,170.9,12,29,4,5,0,0,5,1
20,1,63.22,2,9,4,2,0,0,3,1
91,1,118.8,10,8,4,2,2,0,0,0
81,0,89.25,9,16,4,4,2,0,0,1
5,0,94.5,8,15,3,1,2,1,0,1
259,0,90.0,5,5,3,3,0,0,0,0
37,2,88.0,12,2,4,2,0,3,0,1
151,1,82.45,7,11,3,1,1,0,3,0
20,2,89.0,9,11,4,0,2,3,0,1
10,1,126.0,10,20,4,3,0,0,0,1
43,0,107.1,4,2,4,1,1,0,0,0
116,1,202.74,8,12,4,1,0,0,6,0
6,3,119.0,12,28,4,4,0,0,3,1
64,1,118.8,4,23,4,1,1,0,3,1
134,2,89.85,7,12,4,4,0,0,0,1
0,0,136.0,9,13,4,4,2,0,0,1
22,1,156.0,5,21,4,1,0,0,3,1
173,1,94.5,8,13,4,1,2,3,0,0
137,0,100.8,8,23,4,4,0,0,0,0
118,2,110.8,12,28,4,4,1,0,0,0
110,3,168.1,7,30,4,1,2,0,5,1
80,1,75.79,7,31,4,7,2,0,0,1
28,0,67.0,7,14,2,1,0,0,0,1
130,0,194.85,5,5,4,3,0,0,1,1
24,2,159.0,5,29,4,0,1,0,3,1
102,0,101.5,10,16,3,2,0,1,0,0
418,0,107.0,9,26,4,2,1,1,0,0
141,0,90.0,9,20,3,0,1,0,0,0
53,1,122.4,6,18,4,4,2,0,3,0
99,0,90.63,4,5,4,3,0,0,0,1
221,0,60.0,10,17,3,1,2,0,0,1
59,1,126.0,10,16,4,2,2,0,0,1
0,0,65.0,9,13,2,2,0,0,0,1
4,0,65.0,11,22,2,1,0,0,0,1
116,0,82.0,2,28,3,1,2,0,0,1
69,1,173.0,11,7,4,3,1,3,0,0
166,1,100.3,6,19,4,2,2,0,0,0
109,4,118.46,7,6,4,4,2,0,3,1
5,0,177.0,10,31,4,1,0,0,5,1
100,1,105.3,5,1,4,1,2,0,0,1
245,0,75.0,6,17,3,2,0,0,0,0
113,2,137.21,5,16,4,5,2,0,3,1
59,0,85.0,10,29,3,2,0,0,0,1
30,1,179.25,8,23,4,5,1,1,3,1
36,1,105.3,4,11,4,1,1,0,0,1
56,2,79.2,12,12,4,0,1,3,0,1
26,1,139.0,10,16,4,4,2,0,0,1
4,1,80.08,3,14,4,2,1,0,0,1
35,1,151.5,10,11,4,3,0,0,3,0
19,1,134.3,11,2,4,4,0,1,0,1
74,0,109.0,9,18,3,2,0,1,0,1
84,0,90.95,4,14,4,3,2,0,0,1
73,0,38.67,3,21,3,2,1,0,0,1
0,1,153.0,8,7,4,2,0,3,5,1
34,0,73.8,3,20,3,2,2,0,3,1
116,1,136.0,5,19,4,3,1,0,0,0
1,0,60.0,2,28,4,1,2,0,0,0
21,0,196.0,4,11,4,1,1,0,5,0
66,0,75.0,10,9,3,2,1,0,0,0
346,0,90.0,9,13,3,2,0,1,0,0
46,1,74.8,11,22,4,4,0,3,0,0
6,0,0.0,12,10,4,2,0,1,0,1
5,1,88.12,1,15,4,12,5,0,3,1
66,0,58.9,7,11,4,1,2,0,0,1
55,0,168.3,9,20,4,3,0,0,3,0
116,0,1.0,2,28,4,1,2,0,0,1
49,3,109.8,9,2,4,1,0,0,0,1
17,0,136.0,2,9,4,2,0,0,0,0
158,0,198.9,5,25,4,4,0,0,5,0
83,0,75.0,5,1,3,2,2,0,0,1
64,0,140.0,5,17,2,2,0,0,0,0
50,2,135.9,8,16,4,3,0,0,0,1
279,0,110.0,10,12,3,3,0,0,0,0
20,0,85.0,6,2,3,1,0,3,0,1
124,2,118.8,10,9,4,1,2,0,0,1
15,0,60.0,12,27,3,1,0,0,0,1
22,0,166.0,8,21,4,2,2,0,3,0
19,0,90.0,10,6,3,3,0,0,0,1
210,0,88.7,5,2,4,1,1,0,0,0
176,0,198.9,9,15,4,3,0,0,5,0
58,1,94.5,10,9,4,2,0,0,0,1
1,0,148.04,5,24,4,5,2,0,3,0
1,1,89.5,12,20,4,3,0,0,0,1
16,2,166.0,7,1,4,2,0,0,3,1
90,0,119.85,5,7,4,2,2,0,0,1
3,0,89.0,12,4,3,0,2,0,0,1
237,1,107.53,10,12,4,4,0,0,0,0
58,0,91.0,1,27,3,2,0,0,0,1
0,0,109.0,6,10,4,1,0,3,0,1
267,0,115.2,10,1,4,1,1,0,3,0
95,2,151.2,10,7,4,2,1,0,3,1
3,2,0.0,8,9,4,1,2,0,1,1
19,0,85.5,10,7,2,1,0,0,0,1
118,0,110.0,6,6,3,2,1,0,0,1
178,0,88.5,7,22,4,2,1,3,0,0
76,0,94.0,7,24,4,1,2,3,0,1
92,0,90.95,4,25,4,3,1,0,0,0
47,3,142.2,9,2,4,2,1,0,3,1
84,2,170.1,6,15,4,4,1,0,3,1
5,0,112.0,10,18,4,3,0,3,0,1
221,0,65.0,10,17,3,1,2,0,0,1
61,4,88.4,12,22,4,5,2,0,0,1
19,0,69.0,12,5,4,1,2,0,0,1
7,0,85.0,2,15,4,1,1,0,0,1
6,0,65.0,11,17,2,2,0,0,0,1
145,0,153.0,10,22,4,1,1,1,0,0
55,2,123.3,9,3,4,1,1,0,3,1
8,2,90.0,8,26,4,2,0,0,0,1
112,0,100.0,6,2,3,2,0,0,0,1
1,1,89.5,12,18,4,0,1,0,0,1
39,0,126.9,5,7,4,1,2,0,0,1
210,0,72.75,10,8,3,3,1,1,0,0
0,1,121.0,8,1,4,0,1,0,0,1
301,1,115.0,7,30,3,1,1,1,0,0
70,2,109.8,12,25,4,1,2,0,0,1
1,0,161.88,11,8,2,1,0,0,0,1
273,0,87.0,7,17,3,2,0,1,0,1
188,0,105.3,8,13,4,1,1,0,0,0
4,0,154.0,3,5,4,1,0,1,3,0
42,0,144.23,8,29,4,3,1,0,3,0
9,1,75.0,11,1,4,1,2,3,0,1
85,0,129.73,9,29,2,2,0,0,0,1
57,1,87.32,6,27,4,0,1,0,3,1
80,0,85.5,3,25,4,2,1,3,0,0
0,0,0.0,11,16,1,0,1,0,4,1
211,0,100.0,5,20,3,2,0,0,0,0
190,0,90.9,11,3,4,3,0,0,0,0
247,1,115.0,6,6,3,1,1,1,0,0
39,1,80.3,2,11,4,3,2,0,0,1
44,1,89.1,6,22,4,2,0,3,0,0
2,0,72.2,9,23,4,2,0,0,0,1
132,0,102.28,7,21,4,4,2,0,0,0
95,2,79.8,10,30,4,1,2,3,0,0
3,0,126.0,10,11,4,0,1,0,0,1
7,0,79.0,2,5,4,2,1,3,0,0
44,2,110.13,11,4,4,2,1,0,3,1
2,0,120.0,11,16,3,3,0,0,0,1
37,2,108.0,9,26,4,1,1,3,0,1
88,0,149.4,9,4,4,4,2,0,3,0
0,1,63.2,2,12,4,2,1,3,0,1
118,0,159.3,6,2,4,3,0,0,3,0
70,2,165.63,7,14,4,3,1,0,6,1
69,2,76.5,7,22,4,5,2,0,0,0
4,1,0.0,1,9,1,1,1,2,3,1
9,0,65.0,11,22,2,1,2,0,0,1
41,1,99.9,4,19,4,1,0,0,0,1
9,0,154.33,8,12,4,2,1,0,0,1
2,0,2.0,2,12,1,1,0,0,0,1
0,1,75.0,12,11,2,1,0,0,0,1
146,1,107.0,4,24,4,0,2,0,0,0
433,0,70.0,9,8,3,3,0,0,0,0
103,0,94.5,7,18,3,1,2,1,0,0
10,0,118.8,3,1,4,5,0,0,3,1
78,0,132.3,10,21,4,2,2,0,3,0
72,2,137.7,4,13,4,2,0,0,3,1
134,0,65.0,12,4,3,2,2,0,0,1
7,0,176.0,9,30,3,2,0,0,4,1
56,1,82.44,12,7,4,3,0,0,1,1
0,1,65.0,2,24,2,1,0,0,0,1
12,0,0.0,8,5,1,3,0,0,0,1
43,0,152.05,2,25,4,3,2,0,5,1
17,1,70.0,3,17,2,2,0,0,0,1
102,0,87.0,10,16,3,2,0,1,0,1
53,0,94.5,9,18,3,0,2,0,0,1
7,1,66.22,2,15,4,3,1,0,0,0
40,0,95.0,7,26,3,1,0,1,0,1
146,0,75.0,12,29,3,3,0,0,0,1
117,0,94.5,8,1,3,1,2,1,0,0
12,1,93.5,11,1,4,4,0,3,0,1
0,0,0.0,12,14,1,1,0,3,0,1
59,2,89.25,10,15,4,2,0,0,0,1
0,2,129.0,6,18,4,1,2,3,0,1
24,0,107.0,4,28,3,7,2,0,3,1
74,0,101.5,9,18,3,2,0,1,0,1
1,0,197.0,5,20,4,1,0,0,3,1
47,1,92.28,5,11,4,4,0,0,0,1
7,1,143.0,4,16,4,1,1,0,0,1
42,1,80.76,3,6,4,2,2,0,0,0
136,0,121.5,7,16,4,1,1,0,0,0
0,3,0.0,11,29,1,1,0,1,6,1
4,2,78.0,12,16,4,1,0,3,0,1
26,0,90.44,3,1,4,5,0,1,0,1
32,1,125.1,5,18,4,2,0,3,0,1
22,0,59.09,12,26,4,1,2,0,0,1
18,0,107.0,12,6,4,0,2,0,0,1
141,0,90.0,9,20,3,0,1,0,0,1
85,0,143.1,8,29,4,3,1,0,3,1
54,1,73.5,2,27,4,1,2,3,0,0
256,0,76.67,9,14,3,2,1,0,0,1
73,1,94.0,4,3,4,1,2,3,0,1
131,0,94.5,8,15,4,1,2,1,0,0
27,0,108.0,9,30,3,2,0,0,0,1
56,0,82.0,9,17,3,2,0,1,0,1
32,1,154.0,9,27,4,2,0,0,3,0
3,0,85.0,2,13,3,1,2,0,0,1
5,0,95.0,6,14,2,1,0,0,0,0
31,1,125.1,10,4,4,1,0,0,0,1
153,1,123.25,8,9,4,5,1,0,0,0
47,1,60.0,11,7,3,2,2,0,3,1
13,1,90.95,11,8,4,5,2,0,0,1
62,3,149.4,9,14,4,4,1,0,3,1
36,0,96.9,12,3,4,2,2,0,3,1
73,0,62.0,10,28,3,1,0,0,0,1
50,0,156.6,12,23,4,2,2,0,5,0
204,0,141.3,10,7,4,2,0,0,3,0
24,0,187.0,7,26,4,2,0,0,3,0
75,1,87.55,4,4,4,4,1,0,0,1
0,1,108.0,10,9,4,0,1,0,0,1
154,0,68.0,11,30,3,1,0,0,0,1
291,0,115.0,8,19,3,2,0,1,0,0
178,2,90.9,10,26,4,4,0,0,0,1
30,1,144.9,7,12,4,2,0,0,0,1
33,2,105.3,10,19,4,1,1,0,3,1
30,0,82.0,11,16,4,2,0,3,0,1
15,1,81.0,12,27,3,1,0,0,0,1
83,2,210.6,6,10,4,2,1,1,3,1
150,0,125.8,6,28,4,8,2,0,3,0
2,3,123.5,8,21,4,2,0,0,0,1
36,1,135.9,8,14,4,0,2,0,0,1
149,0,129.0,6,9,4,3,0,0,3,0
191,1,130.5,8,23,4,2,0,0,0,0
87,1,106.25,10,23,3,1,2,1,0,1
84,0,66.76,4,12,4,6,2,0,0,0
188,0,130.0,6,15,3,2,0,0,0,0
8,2,134.75,9,1,3,3,0,1,0,1
45,0,112.5,4,7,4,1,0,0,0,0
142,2,72.25,7,13,3,4,1,0,0,1
1,1,176.0,5,26,4,2,0,0,3,1
224,0,82.11,12,29,4,3,2,0,0,0
138,2,122.4,8,17,4,4,1,0,3,1
100,1,140.0,9,28,3,4,0,1,0,1
31,0,107.1,6,20,4,1,1,0,3,0
22,1,148.0,12,29,4,3,0,0,3,1
161,2,108.8,10,2,4,3,2,0,0,0
13,2,102.0,9,13,4,2,2,0,0,1
18,1,120.0,11,1,4,2,0,0,0,1
1,1,115.0,8,4,4,1,0,0,0,1
87,0,97.71,6,9,4,3,0,0,0,1
257,0,101.5,7,1,3,2,0,1,0,0
36,0,64.0,2,11,3,3,0,0,0,1
49,0,76.5,9,2,3,3,0,0,0,1
27,0,43.43,2,11,3,5,2,0,0,1
13,1,95.0,4,18,4,0,1,0,0,1
3,0,65.0,10,5,2,2,1,0,0,1
13,1,95.0,9,11,4,1,0,0,0,1
100,0,110.0,9,28,3,4,0,1,0,1
7,1,18.0,12,6,4,1,0,0,0,1
113,0,103.5,7,10,4,0,1,3,0,0
41,0,70.0,12,27,3,5,1,0,0,1
7,1,78.0,12,17,4,1,1,3,0,1
220,1,156.0,9,17,3,1,2,1,0,0
16,0,106.0,2,28,4,0,2,0,3,0
57,0,75.0,11,11,3,2,0,0,0,1
180,0,120.0,10,10,4,2,1,0,0,0
44,0,96.3,6,18,3,1,1,0,3,1
68,0,140.4,5,13,4,2,1,0,3,0
177,0,100.0,6,3,4,2,0,0,0,0
1,1,109.25,8,27,4,2,2,3,0,1
12,0,100.0,10,12,2,3,1,0,0,1
96,2,118.8,10,19,4,4,0,0,0,1
156,1,85.0,11,16,4,4,0,0,0,0
13,2,123.67,9,30,3,3,0,1,0,1
3,0,110.0,5,1,0,6,4,0,3,0
116,0,113.56,8,6,3,1,2,0,4,0
65,2,93.08,10,29,4,3,1,0,0,1
80,2,85.5,3,25,4,2,1,0,0,1
60,1,65.0,10,12,3,3,1,0,0,1
62,0,75.0,11,20,3,2,2,0,0,1
1,0,99.0,1,4,4,3,1,0,3,1
10,1,120.0,10,29,4,1,1,3,0,1
47,2,198.9,5,26,4,1,0,0,5,1
96,0,94.5,7,11,4,1,2,1,0,0
155,2,143.07,8,26,4,2,0,0,5,0
111,0,99.28,8,13,3,1,1,0,3,1
6,0,89.0,11,4,4,1,0,0,0,1
9,0,142.0,8,16,4,5,1,0,0,0
219,0,76.67,9,4,3,2,1,0,0,1
25,0,91.0,1,2,3,3,2,0,0,1
41,0,69.29,12,27,3,5,2,0,0,1
20,1,151.0,7,23,4,1,2,0,0,1
19,0,191.0,8,14,4,1,2,0,3,0
31,0,63.0,12,3,3,1,2,3,0,1
64,0,149.4,9,16,4,1,0,0,3,0
76,1,72.25,11,1,4,2,2,0,0,1
1,0,85.0,1,23,4,1,0,0,0,1
177,0,100.0,6,3,3,2,0,0,0,0
104,0,61.43,2,29,4,5,1,0,0,0
166,1,114.3,8,7,4,1,2,0,0,0
48,1,139.5,10,9,4,0,2,0,3,0
96,1,75.0,12,27,3,3,2,0,3,1
4,0,87.2,8,1,4,0,1,3,0,1
197,0,113.4,12,21,3,4,1,1,0,1
21,0,88.4,12,19,4,3,1,0,0,1
177,0,99.9,7,30,4,1,0,0,0,0
12,1,178.5,9,24,4,3,1,3,0,1
54,0,47.43,3,1,4,4,0,3,0,0
1,0,111.0,11,19,4,1,0,0,0,1
10,0,110.0,5,29,2,5,3,0,0,1
28,0,88.0,12,22,4,3,0,3,0,0
0,0,221.0,5,14,4,1,0,0,5,0
1,0,140.0,10,21,4,2,0,0,0,1
91,0,114.3,7,24,4,1,2,0,0,0
134,0,94.5,5,17,4,3,0,3,0,0
0,0,109.0,8,14,3,2,0,1,0,1
42,0,168.3,8,23,4,5,0,0,3,1
6,1,109.0,3,9,4,4,0,0,3,1
138,1,137.7,7,16,4,1,1,0,0,1
27,2,106.02,10,5,4,4,1,0,0,1
31,1,148.69,9,26,4,3,1,0,5,1
10,2,90.0,8,28,4,1,0,0,0,1
0,1,0.0,1,7,1,1,0,0,0,1
103,1,95.88,5,5,4,3,1,0,3,1
139,0,68.0,11,16,3,4,2,0,0,0
184,1,103.5,8,13,4,1,0,3,0,0
173,1,114.75,8,13,4,2,2,0,0,0
43,1,203.85,8,15,4,2,1,1,0,1
119,0,144.45,8,5,4,2,2,0,3,0
86,0,120.0,9,24,3,2,0,1,0,1
90,3,127.71,12,26,4,3,1,0,3,1
56,1,82.44,12,7,4,3,0,0,1,1
46,0,124.46,8,28,4,5,2,0,3,1
62,1,81.9,11,15,4,2,2,0,3,1
77,2,104.4,10,25,4,3,0,0,3,1
261,0,68.0,11,20,3,1,2,0,0,0
93,0,115.0,10,15,3,1,2,0,0,0
286,0,90.0,10,16,3,0,1,0,0,0
65,1,68.0,12,4,3,2,2,0,0,1
36,2,109.0,10,28,4,2,0,3,0,1
102,0,109.0,10,16,3,2,0,1,0,1
135,0,90.0,9,14,3,2,1,0,0,1
111,1,115.6,11,21,4,5,1,0,3,0
92,0,90.0,11,11,3,1,0,0,0,1
5,0,0.0,12,1,1,0,0,0,0,1
28,2,277.0,7,20,4,1,0,1,5,1
65,0,0.0,3,23,4,0,0,0,0,1
156,2,171.96,8,13,4,5,2,1,0,0
36,3,207.9,9,15,4,3,0,0,5,1
176,1,90.0,3,20,4,4,2,0,0,1
105,0,75.0,10,12,3,3,0,0,0,0
60,0,65.0,9,21,3,1,1,0,0,1
99,0,65.0,10,30,4,2,2,0,0,0
25,1,110.0,9,11,4,0,2,0,0,1
11,1,127.0,2,14,4,0,1,0,3,1
67,0,48.51,2,13,4,1,2,3,0,1
62,1,76.0,4,3,3,3,2,0,0,1
32,0,108.3,4,13,4,3,0,0,0,0
0,0,66.0,2,23,2,3,0,0,0,1
21,0,234.0,9,19,4,3,1,0,5,0
15,2,225.2,7,26,4,3,0,0,6,1
210,1,90.95,8,15,4,3,1,0,0,1
2,1,176.0,5,26,4,3,0,0,3,1
96,3,100.13,10,24,4,3,1,0,0,1
8,0,56.0,3,2,3,2,0,0,0,1
10,1,126.0,5,9,4,1,1,0,3,1
48,0,175.0,9,14,3,2,0,0,4,1
65,0,123.93,7,28,4,2,0,0,3,0
83,1,84.9,4,4,4,2,1,0,0,1
86,1,96.3,4,17,4,1,2,0,0,1
65,0,63.75,3,13,4,2,2,3,0,1
109,0,152.1,8,24,4,4,0,0,3,0
66,0,46.63,11,12,4,8,2,0,0,1
15,1,67.32,12,20,4,5,1,3,0,1
197,2,82.45,8,16,3,5,2,0,3,1
304,0,89.0,11,3,4,3,0,0,0,0
60,0,60.27,7,3,4,5,2,3,0,1
159,0,149.6,12,30,4,2,2,0,5,1
80,0,80.75,6,4,3,1,2,0,0,1
172,0,95.0,6,24,4,2,0,0,0,0
156,1,93.08,7,2,4,2,2,0,0,0
8,1,125.0,3,18,4,2,0,0,0,1
38,2,118.0,11,4,4,2,1,0,3,1
45,0,76.5,7,5,3,1,0,0,0,1
2,1,67.5,12,24,4,1,0,3,0,1
148,2,108.19,5,18,4,4,0,0,3,1
27,1,91.0,2,20,4,1,1,0,0,0
137,0,103.09,8,2,4,5,2,0,0,0
39,0,101.5,8,14,3,2,0,1,0,1
9,1,128.5,9,11,4,2,0,0,0,1
0,0,104.0,4,9,2,1,2,0,0,1
6,2,90.0,8,12,4,4,0,0,0,1
45,0,168.3,5,12,4,3,2,0,3,1
82,0,90.95,9,5,3,7,3,0,3,1
36,0,150.3,6,29,4,4,0,0,3,0
213,1,94.5,8,12,4,2,1,3,0,1
25,0,154.0,9,16,4,2,2,0,0,1
1,1,96.0,3,23,4,1,0,0,0,1
59,0,75.0,11,17,3,2,0,0,0,1
22,0,62.0,11,17,2,1,0,0,0,1
54,1,113.4,6,20,4,3,1,0,3,1
